Question,Answer,Topic ,keywords,topic,Bidirectional LSMT glove v. 5 Clean,,Laura ,NLabels,,Cluster model,,,,,NLabels n.2,,semi supervised learning using  pretrained BERT,,Clusters prediction ,,,,,,,
What is the DOI of the article?,The DOI of the article is https//doiorg/101051/kmae/2019032,Publications Titles,"article, articles, publication, published, publications, title, paper, journal, paragraph, publishing, papers, paperempower, journals, titled, document, jahrbuch, author, wrote, publish, subject, publishes, manuscript, thesis, cfa, item, literature, contents, topic, documents, cited, authors, documented, documentation, what, pdf, sources, source, book, who, written, cfd, topics, authorship, http, pages, citation, resource, org, yearbook, material",,strategy,,others,science&tech,,Analysis,,4,others,OK,science&tech,,ethics and regularisation,,0,2,1,1,1,,,others
What is the title of the article discussed?,The title of the article discussed is Allelopathic potential of stoneworts,Publications Titles,"article, articles, publication, published, publications, title, paper, journal, paragraph, publishing, papers, paperempower, journals, titled, document, jahrbuch, author, wrote, publish, subject, publishes, manuscript, thesis, cfa, item, literature, contents, topic, documents, cited, authors, documented, documentation, what, pdf, sources, source, book, who, written, cfd, topics, authorship, http, pages, citation, resource, org, yearbook, material",,strategy,,others,science&tech,,Analysis,,4,others,OK,science&tech,,science & technology,,0,3,,1,1,,,others
How does climate affects nutrient addition and fish in shallow lake microcosms?,"Climate has a major effect on the addition of nutrients and the presence of fish in shallow lake microcosms, according to the Journal of Applied Ecology study It is suggested that changes in climate may result in altered nutrient levels, and the presence of certain fish may serve as a further mechanism to regulate nutrient levels",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,science and tech,,science and tech,science&tech,OK,Ethics and Regulation,,9,analysis,,science&tech,OK,science & technology,,1,3,,,,,,science and tech
What is thegreen liver concept and how does it relate to cyanobacterial toxin elimination?,"Thegreen liver concept is an idea that suggests that aquatic macrophytes can be used to bioaccumulate cyanobacterial toxins to aid in their removal from lake systems According to Inland Waters study, this approach has been successfully",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,others,,science and tech,science&tech,OK,Analysis,,2,analysis,,science&tech,OK,taxonomy,,0,2,,1,,1,,science and tech
What response to global climate changes did Lake Phytoplankton have?,Lake Phytoplankton responded to global climate changes by shifts in the phytoplankton assemblages in a small Chara-lake and influenced the cyanobacteria community structure,Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,analysis,analysis,OK,Ethics and Regulation,,9,analysis,OK,analysis,OK,science & technology,,3,1,,,1,,,analysis
How did winter temperatures affect phytoplankton in Chara-lakes?,Winter temperatures in Chara-lakes affected the phytoplankton by shifting the phytoplankton assemblages in a small Chara-lake and influencing the cyanobacteria community structure,Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,science and tech,Q,analysis,science&tech,OK,Analysis,OK,2,analysis,OK,analysis,OK,science & technology,Q,2,3,,,,,,analysis
What are the effects of environmental conditions and morphometric parameters on surface water temperature in Polish lakes?,"Morphometric parameters such as lake size, depth, and surface area have significant effects on surface water temperature in Polish Lakes according to a study by Ptak et al 2018",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,analysis,science&tech,Q,Ethics and Regulation,,10,science&tech,Q,science&tech,Q,science & technology,Q,0,4,,,1,,,analysis
"What are the impacts of climatic fluctuations on Characeae biomass in a shallow, restored lake in the Netherlands?","Rip et al 2007 found that climatic fluctuations can have a significant impact on the biomass of Characeae in a shallow, restored lake in the Netherlands",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,analysis,analysis,OK,Analysis,OK,2,analysis,OK,analysis,OK,science & technology,,3,1,,,1,,,analysis
What evidence supports the idea that chara hispida beds are a sink of nitrogen?,"Evidence from growth, nitrogen uptake, and decomposition indicate that chara hispida beds are a sink of nitrogen",Bioorganic Earths,"soil, soils, decarbonization, organic, decarbonisation, carbonation, decarbonizing, decarbonising, decarbonize, carbon, bioorganic, biosphere, vegetation, biomethane, earths, deforestation, ecology, biogeochemical, ecologization, fertilizers, ecosystems, croplands, ecological, decarbonized, earth, ecosystem, bioclimatic, ground, crops, vegetative, ozone, coal, biogas, planting, reforestation, afforestation, climatology, ecotypes, plants, cropland, harvesting, fossil, terra, environmental, ecoregions, terre, environmentally, biosourced, biomass, groundwater",,science and tech,OK,science and tech,factual,,Analysis,Q,2,analysis,Q,factual,,science & technology,OK,1,2,,,,,2,science and tech
What is the role of charophytes in a Mediterranean pond created for restoration purposes?,"The role of charophytes in a Mediterranean pond created for restoration purposes includes providing habitats for many organisms, and they contribute to maintaining water quality",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,science and tech,science&tech,OK,Analysis,Q,2,analysis,Q,science&tech,OK,science & technology,OK,1,4,,,,,,science and tech
What is the impact of submerged macrophytes on phytoplankton in shallow freshwater lakes?,"The impact of submerged macrophytes on phytoplankton in shallow freshwater lakes is that it can structure the lake and provide shelter and shade to the phytoplankton, helping them to flourish",Bio-Fishery Ecosys.,"fisheries, fishing, zooplankton, bioclimatic, fish, fishery, fishes, biodiversity, phytoplankton, bioavailability, planktonic, lakes, ecotypes, biosphere, ecosystems, aquaculture, biospheric, anglerfish, bioavailable, snailfish, ecology, lake, ecosystem, biosourced, ecological, zoologii, biotic, climatology, biomass, oceanography, aquatic, bioproject, habitats, biogeography, biogeochemical, biofuels, bioenergy, bioorganic, climatological, biogas, habitat, biophysical, biofuel, freshwater, biobased, biomod, seawater, species, biomethane, ecologization",,strategy,,analysis,strategy,*,Analysis,OK,2,analysis,OK,strategy,,science & technology,,1,1,,,3,,,analysis
What was the goal of the study?,The goal of the study was to reveal the main factors affecting global forest change along distinct altitude gradients,Researching Ecology,"researching, research, researched, researches, climatology, studies, investigations, study, investigated, climatological, investigation, investigate, researcher, objective, exploration, exploring, researchers, purpose, objectives, seek, investigates, search, ecology, estudios, ecological, ecologization, seeks, purposes, studied, explore, why, geological, survey, climatic, investigating, explores, surveyed, goals, finding, explored, discovery, retrieval, studya, find, discover, bioclimatic, targets, studying, target, cfa",,strategy,Q,others,factual,OK,Analysis,,11,others,OK,factual,OK,analysis,,1,,,1,1,,2,others
What data was utilized in the study?,The data used in the study was Moderate Resolution Imaging Spectroradiometer MODIS Normalized Difference Vegetation Index NDVI data,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,science and tech,,science and tech,science&tech,OK,Analysis,Q,11,others,,science&tech,OK,science & technology,,,4,,1,,,,science and tech
What was the purpose of this research?,The purpose of this research was to investigate anthropogenic activities and climate change effects on global forests by focusing on the drivers on the altitude gradient,Researching Ecology,"researching, research, researched, researches, climatology, studies, investigations, study, investigated, climatological, investigation, investigate, researcher, objective, exploration, exploring, researchers, purpose, objectives, seek, investigates, search, ecology, estudios, ecological, ecologization, seeks, purposes, studied, explore, why, geological, survey, climatic, investigating, explores, surveyed, goals, finding, explored, discovery, retrieval, studya, find, discover, bioclimatic, targets, studying, target, cfa",,strategy,Q,others,science&tech,,Ethics and Regulation,,9,analysis,,strategy,,strategy and management,Q,1,1,,0,3,,,others
What did the analysis demonstrate?,"The analysis demonstrated that with respect to the altitude distribution of forest greening/browning, the higher the altitude is, the smaller is the indicated area of forest, and the smaller is the area of forest, the more significant is the greening/browning It also demonstrated that except for the high-altitude areas in August and September >2400 m, the impact of human global forest governance activities on the greening of forests in most altitude areas and months was greater than that of climate change",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,others,,analysis,analysis,OK,Ethics and Regulation,,9,analysis,OK,analysis,OK,,,3,,,1,,,,analysis
What are the most important terrestrial ecosystems?,Forests are the most important terrestrial ecosystems,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,science and tech,OK,others/science&tech,science&tech,OK,Analysis,,2,analysis,,science&tech,OK,science & technology,OK,1,4,,0,,,,others/science&tech
What are the manifestations of the impact of anthropogenic activities on the global forest ecosystem?,"The impact of anthropogenic activities on the global forest ecosystem is chiefly manifested through CO2 fertilization, nitrogen deposition, and land use change",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,analysis,strategy,*,Ethics and Regulation,,9,analysis,OK,strategy,,science & technology,,1,1,,,3,,,analysis
What caused the large-scale expansion of forest areas in China and India?,"The large-scale expansion of forest areas in China was driven by large-scale ecological restoration policies, while the expansion of forest areas in India was driven by human land use management systems and large-scale afforestation programs",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,analysis,factual,,Analysis,OK,2,analysis,OK,factual,,strategy and management,,1,,,,2,,2,analysis
What effect does climate change have on the forests in North America?,Climate change has resulted in ongoing afforestation of the forests in North America,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,analysis,analysis,OK,Ethics and Regulation,,9,analysis,OK,analysis,OK,strategy and management,,3,,,,2,,,analysis
What type of impact does altitude have on anthropogenic activities and climate change?,"Altitude has multiple impacts on anthropogenic activities and climate change, such as lower exposure of forests to human activity in high-altitude areas and vulnerability of forests in low-altitude areas",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,analysis,strategy,*,Ethics and Regulation,,9,analysis,OK,strategy,,science & technology,,1,1,,,3,,,analysis
What do global studies on forest and altitude focus on?,"Global studies on forest and altitude focus on sample plots, regions, and countries, as well as on single forest species and urban forests",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,others,OK,others,analysis,,Analysis,,2,analysis,,analysis,,analysis,,4,,,1,,,,others
What is the trend of significant changes in global forests along the altitude gradient?,"Research on global vegetation changes along altitude gradients is relatively lacking, but some studies suggest that there may be significant changes in global forests at distinct altitudes",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,others,,analysis,analysis,OK,Ethics and Regulation,,5,analysis,OK,strategy,,analysis,OK,3,,,1,1,,,analysis
Is the impact of anthropogenic activity greater than that of climate change at every altitude gradient?,"The impact of anthropogenic activity may be greater than that of climate change in some altitude gradients, but this is not known for certain, as research on global vegetation changes along altitude gradients is relatively lacking",Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,strategy,,science and tech,strategy,*,Ethics and Regulation,,9,analysis,,strategy,,science & technology,OK,1,1,,,3,,,science and tech
What resolution was used to acquire the study area data?,The study area data was acquired using the Moderate Resolution Imaging Spectroradiometer MODIS land cover type product MCD12C1 from 2000 to 2015 with a spatial resolution of 005,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,science and tech,OK,science and tech,science&tech,OK,Analysis,Q,11,others,,science&tech,OK,science & technology,OK,,4,,1,,,,science and tech
What type of data was used to study the differences in the driving factors of significant forest change in various terrestrial ecoregions?,The Terrestrial Ecoregions of the World from the World Wildlife Fund was used to study the differences in the driving factors of significant forest change in various terrestrial ecoregions,Climatic Forest Impacts,"deforestation, afforestation, reforestation, forests, forest, forestry, climatological, climatology, trees, influencing, climatic, impacts, tree, impact, factors, ecotypes, ecologization, meteorological, effects, climatol, klimapositives, geological, affects, impacted, ecoregions, climates, woodward, affecting, environmental, environmentally, climat, conifers, ecological, impactful, ecology, affect, influences, shrub, acclimatize, impacting, climate, climatena, altitudes, effect, timber, firewood, geothermal, influence, affected, environment",,science and tech,OK,science and tech,science&tech,OK,Analysis,,11,others,,science&tech,OK,analysis,,1,3,,1,,,,science and tech
What resolution was resampled for the Digital Elevation Model?,The Digital Elevation Model was resampled to a 05 resolution by linear interpolation,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,ethics and regulation,,science and tech,science&tech,OK,Strategy and Management,,3,science&tech,OK,science&tech,OK,science & technology,OK,,4,1,,,,,science and tech
What dataset was used to obtain the climate-related parameters in the analysis?,The climate-related parameters were obtained from the ERA5 climate analysis database,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,science and tech,OK,science and tech,science&tech,OK,Analysis,Q,2,analysis,Q,science&tech,OK,science & technology,OK,1,4,,,,,,science and tech
What process did the authors use to harmonize the data resolution?,The authors used linear interpolation to harmonize the data resolution to the 05 standard for all the datasets,Data Analysis Methods,"dataset, data, datasets, datastream, statistics, statistic, statistical, statistisches, estimations, statigraphs, analyzing, analyzed, analysis, statistically, analyze, methodologies, datasheets, methodology, meteorology, analysing, estimation, analyses, estimates, estimate, methodological, climatology, methods, analytical, meteorological, accuracy, determining, used, analytic, metric, climatological, analyzer, utilizing, utilized, metrics, predictability, method, utilisation, analyse, analysed, usage, utilization, how, forecasts, measurement, deterministic",,science and tech,OK,science and tech,science&tech,OK,Strategy and Management,,3,science&tech,OK,science&tech,OK,science & technology,OK,,5,,,,,,science and tech
